epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1323,1.7394,8.81548,2.31863,0.00415,0.54394,0.01606,0.00373,2.4663,4.00793,3.92647,0.0838,0.0018,0.0018
2,22.6732,2.41705,8.34326,3.02282,0,0,0,0,4.46186,946.236,51.2863,0.0666927,0.00369267,0.00369267
3,32.0457,2.79609,8.56641,3.24397,0,0,0,0,3.7778,inf,538.485,0.0495778,0.00557782,0.00557782
4,43.7856,2.56433,7.24961,3.25517,0,0,0,0,nan,nan,nan,0.0324554,0.00745545,0.00745545
5,54.7381,2.76638,6.88743,3.4461,0,0,0,0,nan,nan,nan,0.0153256,0.00932555,0.00932555
6,65.6955,3.04935,5.99445,3.45855,0,0,0,0,nan,nan,nan,0.009901,0.009901,0.009901
7,75.0891,2.69492,5.7482,3.4118,0,0,0,0,nan,nan,nan,0.0098812,0.0098812,0.0098812
8,84.3995,2.67383,5.4492,3.30403,0,0,0,0,nan,nan,nan,0.0098614,0.0098614,0.0098614
9,93.6726,2.73149,5.56308,3.35496,0.00018,0.19444,0.00022,8e-05,1.82499,inf,2005.54,0.0098416,0.0098416,0.0098416
10,102.911,2.50971,5.25476,3.2625,0.00022,0.16667,0.00023,0.00052,2.10948,inf,1589.63,0.0098218,0.0098218,0.0098218
11,112.207,2.40247,4.95084,3.1556,0.0007,0.18939,0.00047,0.00017,2.21779,inf,1001.91,0.009802,0.009802,0.009802
12,122.612,2.42185,4.83803,3.09903,0,0,0,0,5.66165,2876.56,98.8013,0.0097822,0.0097822,0.0097822
13,132.512,2.31721,4.74956,3.01308,0,0,0,0,6.21355,1595.61,43.4648,0.0097624,0.0097624,0.0097624
14,142.346,2.24374,4.6438,2.99792,0,0,0,0,6.20051,2412.98,80.9928,0.0097426,0.0097426,0.0097426
15,151.482,2.39964,4.89347,2.98771,0,0,0,0,4.76344,5.37362,14.9189,0.0097228,0.0097228,0.0097228
16,160.626,2.34692,4.25418,3.03708,0,0,0,0,4.76344,5.37362,14.9189,0.009703,0.009703,0.009703
17,169.841,2.29706,4.3617,2.96199,0.00027,0.19444,0.00034,0.0001,3.01964,5.19445,7.39628,0.0096832,0.0096832,0.0096832
18,179.119,2.16052,4.11714,2.91161,0.00049,0.21212,0.00045,0.00013,2.75122,4.53138,4.94099,0.0096634,0.0096634,0.0096634
19,188.232,2.01003,3.83059,2.68933,0.00293,0.64217,0.00781,0.00219,2.18327,4.11954,3.40647,0.0096436,0.0096436,0.0096436
20,197.653,2.25672,4.02309,2.89845,0.56137,0.07045,0.05398,0.01061,2.41463,7.17407,3.78894,0.0096238,0.0096238,0.0096238
21,206.96,2.10159,3.73386,2.72373,0.86268,0.025,0.04253,0.00869,1.85988,5.81362,2.9584,0.009604,0.009604,0.009604
22,216.718,2.02354,3.54216,2.70021,0.35939,0.16922,0.04772,0.01829,1.84729,9.72852,3.05828,0.0095842,0.0095842,0.0095842
23,226.884,2.2303,3.55377,2.81652,0.3701,0.22045,0.0972,0.02856,2.29778,9.56105,4.22888,0.0095644,0.0095644,0.0095644
24,237.265,2.06006,3.32124,2.75205,0.29364,0.24091,0.07792,0.02139,2.12696,7.15056,3.45347,0.0095446,0.0095446,0.0095446
